北海道,38086,26597,11489,7945,3544
北海道,38086,26597,11489,7945,3544
青森県,34866,13309,21557,7341,14216
岩手県,45254,11519,33735,5870,27865
宮城県,37533,7865,29668,5261,24407
秋田県,37810,9461,28349,5748,22601
山形県,32355,7891,24464,6743,17721
福島県,52270,12078,40192,6279,33913
茨城県,57239,16887,40352,7470,32882
栃木県,39810,10380,29430,5435,23995
群馬県,25520,10416,15104,3402,11702
埼玉県,36743,12474,24269,4042,20227
千葉県,44039,13474,30565,7168,23397
東京都,5623,2613,3010,444,2566
神奈川県,12685,5031,7654,1301,6353
新潟県,54409,10781,43628,7554,36074
富山県,16744,2711,14033,1493,12540
石川県,13048,3424,9624,1116,8508
福井県,15245,2468,12777,1235,11542
山梨県,17020,7331,9689,2138,7551
長野県,51777,17229,34548,6004,28544
岐阜県,28511,5770,22741,1904,20837
静岡県,31864,9891,21973,5378,16595
愛知県,35068,11105,23963,4623,19340
三重県,25696,6633,19063,2242,16821
滋賀県,19306,3767,15539,1334,14205
京都府,17485,5715,11770,1274,10496
大阪府,9028,2860,6168,607,5561
兵庫県,46831,11069,35762,4087,31675
奈良県,12930,3832,9098,921,8177
和歌山県,20352,9732,10620,2752,7868
鳥取県,17846,4656,13190,1675,11515
島根県,19173,4290,14883,1678,13205
岡山県,36077,11476,24601,2844,21757
広島県,28169,10421,17748,1805,15943
山口県,20307,7978,12329,1457,10872
徳島県,17958,7304,10654,1667,8987
香川県,20316,6505,13811,1243,12568
愛媛県,25697,11952,13745,2678,11067
高知県,15387,8008,7379,1936,5443
福岡県,34659,13376,21283,4468,16815
佐賀県,15819,4935,10884,2879,8005
長崎県,21304,8065,13239,3260,9979
熊本県,40103,16927,23176,6277,16899
大分県,24300,10089,14211,2158,12053
宮崎県,25552,13499,12053,3679,8374
鹿児島県,37536,21514,16022,4086,11936
沖縄県,14241,7497,6744,1889,4855
